t,i0,i1,i2,i3,i4,i5,i6,i7
177,107,0,0,0,0,0,0,0
178,108,0,0,0,0,0,0,0
179,108,0,0,0,0,0,0,0
180,109,0,0,0,0,0,0,0
181,109,0,0,0,0,0,0,0
182,110,0,0,0,0,0,0,0
183,110,0,0,0,0,0,0,0
184,111,0,0,0,0,0,0,0
185,111,0,0,0,0,0,0,0
186,112,0,0,0,0,0,0,0
187,112,0,0,0,0,0,0,0
188,113,0,0,0,0,0,0,0
189,113,0,0,0,0,0,0,0
190,114,0,0,0,0,0,0,0
191,114,0,0,0,0,0,0,0
192,115,0,0,0,0,0,0,0
193,115,0,0,0,0,0,0,0
194,116,0,0,0,0,0,0,0
195,116,0,0,0,0,0,0,0
196,117,0,0,0,0,0,0,0
197,117,0,0,0,0,0,0,0
198,118,0,0,0,0,0,0,0
199,118,0,0,0,0,0,0,0
200,119,0,0,0,0,0,0,0
201,119,0,0,0,0,0,0,0
202,120,0,0,0,0,0,0,0
203,120,0,0,0,0,0,0,0
204,121,0,0,0,0,0,0,0
205,121,0,0,0,0,0,0,0
206,122,0,0,0,0,0,0,0
207,122,0,0,0,0,0,0,0
208,123,0,0,0,0,0,0,0
209,123,0,0,0,0,0,0,0
210,124,0,0,0,0,0,0,0
211,124,0,0,0,0,0,0,0
212,125,0,0,0,0,0,0,0
213,125,0,0,0,0,0,0,0
214,126,0,0,0,0,0,0,0
215,126,0,0,0,0,0,0,0
216,127,0,0,0,0,0,0,0
217,127,0,0,0,0,0,0,0
218,128,0,0,0,0,0,0,0
219,128,0,0,0,0,0,0,0
220,129,0,0,0,0,0,0,0
221,129,0,0,0,0,0,0,0
222,130,0,0,0,0,0,0,0
223,130,0,0,0,0,0,0,0
224,131,0,0,0,0,0,0,0
225,131,0,0,0,0,0,0,0
226,132,0,0,0,0,0,0,0
227,132,0,0,0,0,0,0,0
228,133,0,0,0,0,0,0,0
229,133,0,0,0,0,0,0,0
230,134,0,0,0,0,0,0,0
231,134,0,0,0,0,0,0,0
232,135,0,0,0,0,0,0,0
233,135,0,0,0,0,0,0,0
234,136,0,0,0,0,0,0,0
235,136,0,0,0,0,0,0,0
236,137,0,0,0,0,0,0,0
237,137,0,0,0,0,0,0,0
238,138,0,0,0,0,0,0,0
239,138,0,0,0,0,0,0,0
240,139,0,0,0,0,0,0,0
241,139,0,0,0,0,0,0,0
242,140,0,0,0,0,0,0,0
243,140,0,0,0,0,0,0,0
244,141,0,0,0,0,0,0,0
245,141,0,0,0,0,0,0,0
246,142,0,0,0,0,0,0,0
247,142,0,0,0,0,0,0,0
248,143,0,0,0,0,0,0,0
249,143,0,0,0,0,0,0,0
250,144,0,0,0,0,0,0,0
251,144,0,0,0,0,0,0,0
252,145,0,0,0,0,0,0,0
253,145,0,0,0,0,0,0,0
254,146,0,0,0,0,0,0,0
255,146,0,0,0,0,0,0,0
256,147,0,0,0,0,0,0,0
257,147,0,0,0,0,0,0,0
258,148,0,0,0,0,0,0,0
259,148,0,0,0,0,0,0,0
260,149,0,0,0,0,0,0,0
261,149,0,0,0,0,0,0,0
262,150,0,0,0,0,0,0,0
263,150,0,0,0,0,0,0,0
264,151,0,0,0,0,0,0,0
