reorder_peak,flow_count
48,1
47,2
46,1
45,3
44,1
43,4
42,3
41,2
40,1
39,1
38,3
37,5
36,4
35,2
34,7
33,3
32,5
31,8
30,6
29,12
28,12
27,4
26,12
25,9
24,10
23,5
22,8
21,11
20,8
19,16
18,19
17,14
16,28
15,28
14,39
13,41
12,47
11,46
10,62
9,50
8,50
7,49
6,36
5,24
4,12
3,18
2,7
1,9
0,0
