flow_id_col1,flow_id_col2,flow_id_col4,flow_id_col5,per_flow_max
h15,h45,1475,1475,48
h13,h52,1305,1305,47
h9,h54,1208,1208,47
h23,h131,631,631,46
h12,h141,858,858,45
h29,h40,1467,1467,45
h7,h119,1438,1438,45
h9,h22,166,166,44
h12,h119,1227,1227,43
h3,h133,1508,1508,43
h32,h60,741,741,43
h8,h61,1385,1385,43
h1,h65,1344,1344,42
h1,h75,685,685,42
h24,h117,1266,1266,42
h19,h28,462,462,41
h6,h54,1367,1367,41
h13,h62,1280,1280,40
h31,h40,792,792,39
h1,h116,712,712,38
h3,h102,1141,1141,38
h8,h73,802,802,38
h27,h127,433,433,37
h28,h49,1287,1287,37
h6,h70,1425,1425,37
h7,h58,610,610,37
h9,h125,1078,1078,37
h15,h33,1364,1364,36
h16,h38,1384,1384,36
h24,h106,743,743,36
h24,h143,994,994,36
h10,h63,545,545,35
h21,h94,1487,1487,35
h11,h49,772,772,34
h13,h17,1471,1471,34
h17,h60,469,469,34
h18,h91,529,529,34
h19,h100,407,407,34
h29,h121,1354,1354,34
h32,h126,530,530,34
h18,h48,528,528,33
h24,h66,1424,1424,33
h9,h67,352,352,33
h10,h31,1047,1047,32
h17,h83,1226,1226,32
h20,h52,1383,1383,32
h20,h58,331,331,32
h4,h55,1059,1059,32
h11,h48,692,692,31
h13,h143,1111,1111,31
h2,h65,1409,1409,31
h2,h72,1331,1331,31
h24,h84,1285,1285,31
h25,h143,158,158,31
h29,h76,1052,1052,31
h8,h92,1139,1139,31
h13,h85,943,943,30
h15,h20,1446,1446,30
h21,h128,1153,1153,30
h23,h45,926,926,30
h24,h132,838,838,30
h3,h42,916,916,30
h11,h62,1431,1431,29
h11,h72,1086,1086,29
h12,h56,1408,1408,29
h17,h72,1465,1465,29
h22,h129,1377,1377,29
h23,h61,1000,1000,29
h27,h48,1089,1089,29
h29,h1,366,366,29
h3,h51,1440,1440,29
h30,h137,1110,1110,29
h6,h56,954,954,29
h6,h82,844,844,29
h1,h23,161,161,28
h14,h107,472,472,28
h15,h97,966,966,28
h18,h119,787,787,28
h23,h124,1095,1095,28
h27,h137,1433,1433,28
h30,h115,287,287,28
h31,h129,36,36,28
h31,h76,328,328,28
h7,h103,1251,1251,28
h8,h30,774,774,28
h9,h91,496,496,28
h19,h9,523,523,27
h20,h89,459,459,27
h26,h58,1250,1250,27
h3,h101,1513,1513,27
h10,h34,666,666,26
h12,h131,997,997,26
h14,h60,361,361,26
h19,h84,611,611,26
h2,h114,1291,1291,26
h20,h4,1372,1372,26
h28,h85,1363,1363,26
h30,h21,621,621,26
h31,h67,653,653,26
h4,h9,1212,1212,26
h7,h100,1469,1469,26
h8,h141,153,153,26
h11,h38,1124,1124,25
h14,h105,1499,1499,25
h16,h53,882,882,25
h18,h55,732,732,25
h19,h143,1242,1242,25
h21,h58,809,809,25
h22,h16,1432,1432,25
h3,h22,734,734,25
h32,h42,150,150,25
h13,h96,893,893,24
h14,h1,1307,1307,24
h16,h129,330,330,24
h17,h122,1133,1133,24
h19,h136,788,788,24
h20,h144,1175,1175,24
h23,h125,1342,1342,24
h8,h17,968,968,24
h8,h77,1211,1211,24
h9,h17,271,271,24
h1,h75,867,867,23
h10,h107,1376,1376,23
h15,h59,949,949,23
h20,h118,705,705,23
h7,h33,1389,1389,23
h10,h70,984,984,22
h11,h8,1083,1083,22
h13,h111,481,481,22
h22,h119,1426,1426,22
h24,h83,1275,1275,22
h26,h144,1356,1356,22
h28,h20,812,812,22
h5,h88,757,757,22
h10,h90,1176,1176,21
h13,h35,531,531,21
h26,h117,737,737,21
h26,h97,608,608,21
h28,h48,637,637,21
h28,h68,977,977,21
h30,h38,790,790,21
h4,h81,1005,1005,21
h8,h20,728,728,21
h9,h34,738,738,21
h9,h48,480,480,21
h12,h121,76,76,20
h16,h31,1421,1421,20
h25,h97,807,807,20
h27,h76,1295,1295,20
h3,h71,775,775,20
h5,h25,1278,1278,20
h9,h130,293,293,20
h9,h99,1075,1075,20
h1,h56,497,497,19
h15,h23,605,605,19
h16,h23,1506,1506,19
h16,h79,1474,1474,19
h2,h80,1286,1286,19
h21,h29,1241,1241,19
h23,h54,318,318,19
h24,h44,803,803,19
h27,h109,1463,1463,19
h27,h97,834,834,19
h29,h105,1462,1462,19
h29,h49,524,524,19
h31,h26,630,630,19
h5,h116,1473,1473,19
h7,h41,779,779,19
h7,h45,1126,1126,19
h12,h110,500,500,18
