reorder_peak,flow_count
49,1
48,3
47,6
46,5
45,4
44,5
43,4
42,3
41,7
40,3
39,5
38,6
37,10
36,11
35,5
34,9
33,7
32,8
31,8
30,23
29,17
28,15
27,18
26,17
25,18
24,15
23,15
22,30
21,19
20,23
19,25
18,27
17,31
16,37
15,54
14,62
13,58
12,59
11,71
10,81
9,95
8,77
7,66
6,63
5,42
4,38
3,35
2,22
1,37
0,0
